Symbol,Resistance,Support,Logged_On,Position,Timeline,Comments
HDFCBANK,-,-,,All,0,Manual-Resistance-Support
HDFCLIFE,616.15,-,18-Feb-24,All,0,Manual-Resistance-Support
HAVELLS,-,-,,All,0,Manual-Resistance-Support
HEROMOTOCO,-,-,,All,0,Manual-Resistance-Support
HINDALCO,-,-,,All,0,Manual-Resistance-Support
HAL,3117,-,18-Feb-24,All,0,Manual-Resistance-Support
HINDCOPPER,-,-,,All,0,Manual-Resistance-Support
HINDPETRO,392,-,,All,0,Manual-Resistance-Support
HINDUNILVR,-,-,,All,0,Manual-Resistance-Support
ICICIBANK,1049.8,-,,All,0,Manual-Resistance-Support
ICICIGI,-,-,,All,0,Manual-Resistance-Support
ICICIPRULI,533.9,-,18-Feb-24,All,0,Manual-Resistance-Support
IDFCFIRSTB,92,-,18-Feb-24,All,0,Manual-Resistance-Support
IDFC,129.15,-,18-Feb-24,All,0,Manual-Resistance-Support
IPCALAB,1159.8,-,18-Feb-24,All,0,Manual-Resistance-Support
ITC,-,-,,All,0,Manual-Resistance-Support
IBULHSGFIN,201,-,18-Feb-24,All,0,Manual-Resistance-Support
INDIAMART,2908,-,18-Feb-24,All,0,Manual-Resistance-Support
IEX,-,-,,All,0,Manual-Resistance-Support
IOC,-,-,,All,0,Manual-Resistance-Support
IRCTC,-,-,,All,0,Manual-Resistance-Support
IGL,-,-,,All,0,Manual-Resistance-Support
INDUSTOWER,230,-,18-Feb-24,All,0,Manual-Resistance-Support
INDUSINDBK,-,-,,All,0,Manual-Resistance-Support
NAUKRI,5388,-,18-Feb-24,All,0,Manual-Resistance-Support
INFY,-,-,,All,0,Manual-Resistance-Support
INDIGO,3128,-,18-Feb-24,All,0,Manual-Resistance-Support
JKCEMENT,4179,-,18-Feb-24,All,0,Manual-Resistance-Support
JSWSTEEL,-,-,,All,0,Manual-Resistance-Support
JINDALSTEL,767.45,-,18-Feb-24,All,0,Manual-Resistance-Support
JUBLFOOD,584,553,,All,0,Manual-Resistance-Support
KOTAKBANK,-,-,,All,0,Manual-Resistance-Support
L&TFH,162,148,,All,0,Manual-Resistance-Support
LTTS,-,-,,All,0,Manual-Resistance-Support
LICHSGFIN,668,507,18-Feb-24,All,0,Manual-Resistance-Support
LTIM,-,-,,All,0,Manual-Resistance-Support
LT,-,-,,All,0,Manual-Resistance-Support
LAURUSLABS,-,-,,All,0,Manual-Resistance-Support
LUPIN,-,-,,All,0,Manual-Resistance-Support
MRF,148554,-,18-Feb-24,All,0,Manual-Resistance-Support
MGL,1534,-,18-Feb-24,All,0,Manual-Resistance-Support
M&MFIN,298,-,18-Feb-24,All,0,Manual-Resistance-Support
M&M,1759.4,-,18-Feb-24,All,0,Manual-Resistance-Support
MANAPPURAM,-,-,,All,0,Manual-Resistance-Support
MARICO,556,515,18-Feb-24,All,0,Manual-Resistance-Support
MARUTI,-,-,,All,0,Manual-Resistance-Support
MFSL,-,-,,All,0,Manual-Resistance-Support
METROPOLIS,-,-,,All,0,Manual-Resistance-Support
MPHASIS,2790,-,18-Feb-24,All,0,Manual-Resistance-Support
MCX,3321,-,18-Feb-24,All,0,Manual-Resistance-Support
MUTHOOTFIN,1503,1424,,All,0,Manual-Resistance-Support
NMDC,-,-,,All,0,Manual-Resistance-Support
NTPC,341,-,18-Feb-24,All,0,Manual-Resistance-Support
NATIONALUM,-,-,,All,0,Manual-Resistance-Support
NAVINFLUOR,-,-,,All,0,Manual-Resistance-Support
NESTLEIND,-,-,,All,0,Manual-Resistance-Support
OBEROIRLTY,-,-,,All,0,Manual-Resistance-Support
ONGC,-,-,,All,0,Manual-Resistance-Support
OFSS,-,-,,All,0,Manual-Resistance-Support
PIIND,-,-,,All,0,Manual-Resistance-Support
PVRINOX,-,3321,,All,0,Manual-Resistance-Support
PAGEIND,38395,36656,,All,0,Manual-Resistance-Support
PERSISTENT,-,-,,All,0,Manual-Resistance-Support
PETRONET,-,-,,All,0,Manual-Resistance-Support
PIDILITIND,2724,-,18-Feb-24,All,0,Manual-Resistance-Support
PEL,932,-,18-Feb-24,All,0,Manual-Resistance-Support
POLYCAB,4546,-,18-Feb-24,All,0,Manual-Resistance-Support
PFC,-,-,,All,0,Manual-Resistance-Support
POWERGRID,-,-,,All,0,Manual-Resistance-Support
PNB,-,-,,All,0,Manual-Resistance-Support
RBLBANK,-,-,,All,0,Manual-Resistance-Support
RECLTD,521,-,18-Feb-24,All,0,Manual-Resistance-Support
RELIANCE,2647,-,18-Feb-24,All,0,Manual-Resistance-Support
SBICARD,724,-,18-Feb-24,All,0,Manual-Resistance-Support
SBILIFE,1492,-,18-Feb-24,All,0,Manual-Resistance-Support
SHREECEM,-,-,,All,0,Manual-Resistance-Support
SRF,2491,2356,,All,0,Manual-Resistance-Support
MOTHERSON,-,-,,All,0,Manual-Resistance-Support
SHRIRAMFIN,-,-,,All,0,Manual-Resistance-Support
SIEMENS,-,-,,All,0,Manual-Resistance-Support
SBIN,-,-,,All,0,Manual-Resistance-Support
SAIL,127,-,18-Feb-24,All,0,Manual-Resistance-Support
SUNPHARMA,-,-,,All,0,Manual-Resistance-Support
SUNTV,-,-,,All,0,Manual-Resistance-Support
SYNGENE,747.55,-,18-Feb-24,All,0,Manual-Resistance-Support
TATACONSUM,1177,-,18-Feb-24,All,0,Manual-Resistance-Support
TVSMOTOR,2054,1925,,All,0,Manual-Resistance-Support
TATACHEM,-,-,,All,0,Manual-Resistance-Support
TATACOMM,1835,-,18-Feb-24,All,0,Manual-Resistance-Support
TCS,3951,-,18-Feb-24,All,0,Manual-Resistance-Support
TATAMOTORS,945,-,18-Feb-24,All,0,Manual-Resistance-Support
TATAPOWER,412.15,-,18-Feb-24,All,0,Manual-Resistance-Support
TATASTEEL,147.45,-,18-Feb-24,All,0,Manual-Resistance-Support
TECHM,1362,-,18-Feb-24,All,0,Manual-Resistance-Support
FEDERALBNK,-,-,,All,0,Manual-Resistance-Support
INDIACEM,250,-,18-Feb-24,All,0,Manual-Resistance-Support
INDHOTEL,538.1,-,18-Feb-24,All,0,Manual-Resistance-Support
RAMCOCEM,1035,-,,All,0,Manual-Resistance-Support
TITAN,-,-,,All,0,Manual-Resistance-Support
TORNTPHARM,2548,-,18-Feb-24,All,0,Manual-Resistance-Support
TRENT,-,-,,All,0,Manual-Resistance-Support
UPL,-,-,,All,0,Manual-Resistance-Support
ULTRACEMCO,10315,-,18-Feb-24,All,0,Manual-Resistance-Support
UBL,-,-,,All,0,Manual-Resistance-Support
MCDOWELL-N,1145,-,18-Feb-24,All,0,Manual-Resistance-Support
VEDL,285.55,-,18-Feb-24,All,0,Manual-Resistance-Support
IDEA,18,-,18-Feb-24,All,0,Manual-Resistance-Support
VOLTAS,1101,-,18-Feb-24,All,0,Manual-Resistance-Support
WIPRO,-,-,,All,0,Manual-Resistance-Support
ZEEL,206.76,-,18-Feb-24,All,0,Manual-Resistance-Support
ZYDUSLIFE,-,-,,All,0,Manual-Resistance-Support
NMDC,-,-,12-Mar-25,Short,5,-
NYKAA,-,-,12-Mar-25,Short,5,-
INDUSTOWER,-,-,12-Mar-25,Short,5,-
AXISBANK,-,-,12-Mar-25,Short,5,-
LTF,-,-,12-Mar-25,Short,5,-
CGPOWER,-,-,12-Mar-25,Short,5,-
SONACOMS,-,-,12-Mar-25,Short,5,-
BERGEPAINT,-,-,12-Mar-25,Short,5,-
